fips_code,age_group,population
5015,5-11,2356
5015,12-15,1434
5015,16-17,715
5015,18-24,2028
5015,25-39,4310
5015,40-49,3128
5015,50-64,6107
5015,65-74,3930
5015,75-99,2377
5017,0-4,606
5017,5-11,983
5017,12-15,520
5017,16-17,255
5017,18-24,810
5017,25-39,1792
5017,40-49,1229
5017,50-64,2300
5017,65-74,1106
5017,75-99,1014
5019,0-4,1201
5019,5-11,1588
5019,12-15,983
5019,16-17,483
5019,18-24,4960
5019,25-39,3193
5019,40-49,2506
5019,50-64,3838
5019,65-74,1976
5019,75-99,1658
5021,0-4,821
5021,5-11,1183
5021,12-15,845
5021,16-17,385
5021,18-24,1130
5021,25-39,2530
5021,40-49,1797
5021,50-64,3057
5021,65-74,1722
5021,75-99,1419
5023,0-4,1179
5023,5-11,1951
5023,12-15,1100
5023,16-17,571
5023,18-24,1606
5023,25-39,3838
5023,40-49,2601
5023,50-64,5535
5023,65-74,3602
5023,75-99,3117
5025,0-4,422
5025,5-11,736
5025,12-15,449
5025,16-17,201
5025,18-24,621
5025,25-39,1307
5025,40-49,1014
5025,50-64,1714
5025,65-74,980
5025,75-99,684
5027,0-4,1445
5027,5-11,1925
5027,12-15,1063
5027,16-17,577
5027,18-24,4104
5027,25-39,4007
5027,40-49,2364
5027,50-64,4225
5027,65-74,2186
5027,75-99,1879
5029,0-4,1254
5029,5-11,1887
5029,12-15,1107
5029,16-17,572
5029,18-24,1552
5029,25-39,3404
5029,40-49,2628
5029,50-64,4515
5029,65-74,2223
5029,75-99,1716
5031,0-4,7466
5031,5-11,10690
5031,12-15,5709
5031,16-17,2891
5031,18-24,11625
5031,25-39,23978
5031,40-49,12511
5031,50-64,17965
5031,65-74,8305
5031,75-99,6205
5033,0-4,3948
5033,5-11,5753
5033,12-15,3922
5033,16-17,1849
5033,18-24,5011
5033,25-39,11892
5033,40-49,7572
5033,50-64,12516
5033,65-74,6005
5033,75-99,4271
5035,0-4,3766
5035,5-11,5158
5035,12-15,2848
5035,16-17,1537
5035,18-24,4396
5035,25-39,9584
5035,40-49,5554
5035,50-64,9210
5035,65-74,3923
5035,75-99,2696
5037,0-4,1066
5037,5-11,1514
5037,12-15,945
5037,16-17,454
5037,18-24,1332
5037,25-39,2849
5037,40-49,2204
5037,50-64,3376
5037,65-74,1888
5037,75-99,1196
5039,0-4,378
5039,5-11,468
5039,12-15,423
5039,16-17,295
5039,18-24,570
5039,25-39,1249
5039,40-49,669
5039,50-64,1610
5039,65-74,937
5039,75-99,680
5041,0-4,748
5041,5-11,1140
5041,12-15,763
5041,16-17,349
5041,18-24,883
5041,25-39,1957
5041,40-49,1261
5041,50-64,2421
5041,65-74,1261
5041,75-99,926
5043,0-4,1123
5043,5-11,1410
5043,12-15,1047
5043,16-17,486
5043,18-24,2690
5043,25-39,3063
5043,40-49,2155
5043,50-64,3316
5043,65-74,1717
5043,75-99,1410
5045,0-4,7640
5045,5-11,11504
5045,12-15,6318
5045,16-17,3275
5045,18-24,19018
5045,25-39,25826
5045,40-49,14595
5045,50-64,20390
5045,65-74,9168
5045,75-99,5890
5047,0-4,1124
5047,5-11,1658
5047,12-15,926
5047,16-17,516
5047,18-24,1497
5047,25-39,2859
5047,40-49,2160
5047,50-64,3601
5047,65-74,1896
5047,75-99,1501
5049,0-4,603
5049,5-11,1024
5049,12-15,581
5049,16-17,319
5049,18-24,854
5049,25-39,1655
5049,40-49,1356
5049,50-64,2718
5049,65-74,1748
5049,75-99,1374
5051,0-4,5260
5051,5-11,8163
5051,12-15,4154
5051,16-17,2391
5051,18-24,7119
5051,25-39,16383
5051,40-49,11587
5051,50-64,20497
5051,65-74,12944
5051,75-99,10056
5053,0-4,960
5053,5-11,1750
5053,12-15,873
5053,16-17,488
5053,18-24,1335
5053,25-39,3463
5053,40-49,2174
5053,50-64,3855
5053,65-74,1916
5053,75-99,1312
5055,0-4,2914
5055,5-11,4423
5055,12-15,2414
5055,16-17,1270
5055,18-24,3842
5055,25-39,8765
5055,40-49,5850
5055,50-64,8383
5055,65-74,4095
5055,75-99,2981
5057,0-4,1558
5057,5-11,2134
5057,12-15,1331
5057,16-17,589
5057,18-24,1901
5057,25-39,3305
5057,40-49,2770
5057,50-64,4349
5057,65-74,2168
5057,75-99,1737
5059,0-4,1631
5059,5-11,2851
5059,12-15,1607
5059,16-17,805
5059,18-24,2410
5059,25-39,6843
5059,40-49,4174
5059,50-64,6988
5059,65-74,3865
5059,75-99,2423
5061,0-4,932
5061,5-11,1207
5061,12-15,865
5061,16-17,453
5061,18-24,1073
5061,25-39,2274
5061,40-49,1504
5061,50-64,2657
5061,65-74,1322
5061,75-99,1024
5063,0-4,2500
5063,5-11,3472
5063,12-15,2006
5063,16-17,1015
5063,18-24,3312
5063,25-39,6681
5063,40-49,4545
5063,50-64,7443
5063,65-74,3661
5063,75-99,2792
5065,0-4,641
